"","","","Rapport N° :119/24-PS","","","",""
"","","","","","Incertitude","",""
"Paramètre au laboratoire","Méthode/Version","Résultat","Unité","LQ","","VMA*","Appréciation"
"","","","","","(%)","",""
"pH*","NM ISO 10523 (2012)","7,4","UpH","-","7,4","6,5 - 8,5","S"
"","","","µS/cm à","","","",""
"Conductivité électrique*","NM ISO 7888 (2001)","719","","-","15,4","2700","S"
"","","","20°C","","","",""
"Couleur réelle*","NM ISO 7887 (2012)","ND","Pt mg/l","-","17,7","20","S"
"Odeur","NM 03.7.16 (1990)","1,5eme seuil","-","-","10","3","S"
"Saveur","NM 03.7.17 (1990)","1,5eme seuil","-","-","10","3","S"
"Turbidité*","NM ISO 7027-1 (2019)","0,44","NTU","-","16,5","5","S"
"Oxydabilité au KMnO4*","NM ISO 8467 (2012)","0,53","mgO2/l","0,5","17,7","5","S"
"Température","NM 03.7.008 (1989)","19,8","°C","-","12","Acceptable","S"
"Oxygène dissous","NM ISO 5814 (2012)","6,47","mg/l","-","15","Non spécifique","-"
"Nitrates*","NM ISO 7890-3 (2012)","<LQ","mg/l","0,05","17,3","50","S"
"Nitrites*","NM ISO 6777 (1999)","<LQ","mg/l","0,02","18,8","0,5","S"
"Ammonium*","NM ISO 7150-1 (1999)","<LQ","mg/l","0,05","17,5","0,5","S"
"Sulfates*","NF T 90-040 (1986)","6,47","mg/l","5","16","400","S"
"Chlorures*","NM ISO 9297 (2014)","218,44","mg/l","5","8,1","750","S"
"","NM ISO 10304-1","","","0,10","11","",""
"Fluorures*","","<LQ","mg/l","","","1,5","S"
"","(2013)","","","","","",""
"Chlore libre*","NM ISO 7393-2 (2019)","0,41","mg/l","0,01","-","Non spécifique","-"
"Arsenic* (As)","","<LQ","µg/l","0,5","18","10","S"
"Baryum* (Ba)","","0,001","mg/l","0,0005","18","0,7","S"
"Cadmium* (Cd)","","<LQ","µg/l","0,5","18","3","S"
"Nickel* (Ni)","","<LQ","µg/l","0,5","18","20","S"
"Plomb* (Pb)","","2,39","µg/l","0,5","18","10","S"
"Sélénium* (Se)","","6,67","µg/l","0,5","18","10","S"
"","NM ISO 17294-2","","","","","",""
"Chrome* (Cr)","","2,80","µg/l","0,5","18","50","S"
"","(2014)","","","","","",""
"Mercure* (Hg)","","<LQ","µg/l","0,5","18","1","S"
"Aluminium* (Al)","","0,005","mg/l","0,0005","18","0,2","S"
"Bore* (B)","","1,412","mg/l","0,0005","18","2,4","S"
"Cuivre* (Cu)","","<LQ","mg/l","0,005","18","1","S"
"Manganèse* (Mn)","","<LQ","mg/l","0,0005","18","0,1","S"
"Zinc* (Zn)","","0,029","mg/l","0,005","18","3","S"
"Fer* (Fe)","NM ISO 11885 (2014)","<LQ","mg/l","0,005","18","0,3","-"
"","Méthode","","","","","",""
"Cyanures","","<LQ","µg/l","10","15","70","S"
"","Potentiométrique","","","","","",""
"","","","","","","Non détectable",""
"Hydrogène sulfurée","NM 03.7.016 (1990)","ND","mg/l","-","15","","S"
"","","","","","","organoleptiquement",""
